,Company,Location
69,Freudenberg Far Eastern Spunweb Co. Ltd.,Taoyuan
70,Gandi.net,Taipei
71,GEMUE Taiwan Ltd.,Zhubei City
72,Germany Trade & Invest,Taipei
73,GfK Retail and Technology Taiwan Limited,New Taipei City
74,"Green Works Co., Ltd",Kaohsiung
75,"GTW-Dr. Gebert Technology and Bearing, Ltd. Taiwan Branch (Germany)",Taichung
76,Haefele Taiwan Limited,New Taipei City
77,Hamburg Invest,Taipei
78,HARTING Taiwan Limited,Taipei
79,Hartje Asia Co. Ltd.,Taipei
80,Hebie Asia Ltd.,Changhua
81,"HEIDENHAIN CO., LTD.",Taichung
82,Henkel,New Taipei City
83,Heraeus Materials Technology Taiwan Ltd.,Taipei
84,Hi-Yen Trading International Ltd.,Taipei
85,"Hsin Ho Hardware Co., Ltd.",New Taipei City
86,I LIANG CO. Ltd.,New Taipei City
87,iF Design Asia Ltd.,Taipei
88,IFB International Freightbridge (Taiwan ) Ltd.,Taipei
89,ifm electronic (Taiwan) Ltd.,Kaohsiung
90,igus Taiwan Company Limited,Taichung
91,Illies Engineering (Taipei) Ltd.,Taipei
92,"Infineon Technologies Taiwan Co., Ltd.",Taipei
93,ISRA SURFACE VISION GmbH,Taoyuan
94,Jonas & Redmann Taiwan Ltd.,Zhubei City
95,"Kaigo Co., Ltd.",Taipei
96,Karcher Limited (Taiwan),New Taipei City
97,"KEB Taiwan Co., Ltd.",Taichung
98,"Koerner Engineering Enterprise Co., Ltd.",Taipei
99,"KSB Taiwan Co., Ltd.",Taipei
100,KTR Taiwan Limited,Taichung
101,Kuehne + Nagel Ltd,Taipei
102,Kuhn Special Steel Taiwan Corp.,Douliu City
103,KUKA Automation Taiwan Ltd.,Taipei
104,Lenze Taiwan Representative Office,Taipei
105,LINDY,New Taipei City
106,Logwin Air + Ocean Taiwan Ltd.,Taipei
107,"LTi DRiVES Co.,Ltd",Hsinchu
108,Lufthansa Group,Taipei
109,MAGURA ASIA LIMITED COMPANY,Taichung
110,MAN Energy Solutions Taiwan Ltd.,Kaohsiung
111,manroland(Taiwan) Ltd.,New Taipei City
112,Manz Taiwan Ltd.,Taoyuan
113,"Mapal Precision Tools Systems Co., Ltd.",Tainan
114,Materna IPS GmbH,Taipei
115,Melchers Trading GmbH (Taiwan Branch),Taipei
116,Mercedes-Benz Taiwan Ltd.,Taipei
117,Merck Ltd.,Taipei
118,mh-international architects ltd,
119,MHE-Demag Taiwan Company Limited,Kaohsiung
120,MPC HANTEH INTERNATIONAL LTD.,Taipei
121,Munich Reinsurance Company Liaison Office Taipei,Taipei
122,Nadig International Co. Ltd.,Taipei
123,NIVEA Taiwan Ltd.,Taipei
124,NRW.INVEST GmbH,Taipei
125,OPEN MIND Technologies Taiwan Inc.,New Taipei City
126,"OSHIMA Co., Ltd.",New Taipei City
127,"OSRAM Taiwan Co., Ltd.",Taipei
128,Otto Software Partner Taipei,Taipei
129,People First Relocation,Taipei
130,Pepperl Fuchs Taiwan Ltd.,Taipei
131,Pilotfish,Taipei
132,Pilz Taiwan Ltd.,Taipei
133,"ProMinent Fluid Controls (Taiwan) Co., Ltd.",Kaohsiung
134,Rauschert Asia Ltd.,New Taipei City
135,"REMONDIS Taiwan Co., Ltd.",Taipei
136,Rhenus Logistics Taiwan Ltd.,Taipei
137,"Robert Bosch Taiwan Co., Ltd.",Taipei
138,Rohde&Schwarz Taiwan,Taipei
139,"Rohlig Taiwan Co., Ltd",Taipei
140,RWE Renewables Taiwan Ltd.,Taipei
141,Salzgitter Mannesmann International (HK) Limited,Taipei
142,SAP Taiwan,Taipei
143,"SAUTER ASIA CO., LTD",Taichung
144,SCHAEFER SYSTEMS INTERNATIONAL PTE LTD (TAIWAN BRANCH),New Taipei City
145,"Schaeffler Taiwan Co., Ltd.",Taipei
146,Schenker (H.K.) Ltd. Taiwan Branch,Taipei
147,SCHMID Taiwan Ltd.,Taoyuan
148,Schmoll Asia Pacific Taiwan Branch,Taoyuan
149,Schueco China (Beijing) Ltd. Taiwan Representative Office,Taipei
150,SCHUNK Intec Taiwan Ltd.,Taichung
151,"Shangri-La's Far Eastern Plaza Hotel, Taipei",Taipei
152,Siemens Taiwan Ltd.,Taipei
153,"Sigo Technology Co.,Ltd.",Kaohsiung
154,SIKA Dr. Siebert & Kühn GmbH & Co. KG  Taiwan Representative Office,Taipei
155,SMS group GmbH Taiwan Branch,Kaohsiung
156,"STOBER ANTRIEBSTECHNIK GmbH & Co., KG TAIWAN BRANCH (GERMANY)",Taichung
157,Sunworld Dynasty Hotel Taipei,Taipei
158,"SUSS MICROTEC TAIWAN CO., LTD",Hsinchu
159,Synergie CAD,Hsinchu
160,TAK Associés - Ecovis - Attorneys-at-law,Taipei
161,TGE Taiwan Branch,Taipei
162,"The Imaging Source Asia Co., Ltd.",New Taipei City
163,The Sherwood Taipei,Taipei
164,thyssenkrupp Industrial Solutions,Taipei
165,thyssenkrupp Materials Trading Asia Pte. Ltd. Representative Office Taiwan,Kaohsiung
166,"Trans-Link Exhibition Services Co., Ltd.",Taipei
167,"Trelleborg Sealing Solutions Taiwan Co., Ltd.",Taichung
168,"TRUMPF Taiwan Industries Co., Ltd",Taoyuan
169,TUV Rheinland Taiwan Ltd.,Taipei
170,TÜV SÜD Asia Ltd. Taiwan Branch,Taipei
171,VDE Global Services Taiwan Branch,Taipei
172,VIA Technologies Inc.,New Taipei City
173,VOLKSWAGEN FINANCIAL SERVICES TAIWAN LIMITED,Taipei
174,Wachtel Asia Inc.,Taoyuan
175,WACKER Chemicals Hong Kong Ltd. Taiwan Branch,Taipei
176,Wendel's German Bakery & Bistro,Taipei
177,"WITTENSTEIN CO., LTD.",Taoyuan
178,wpd Taiwan Energy Co. Ltd.,Taipei
179,WTS Consulting (Taiwan) Limited,Taipei
180,"Würth Electronics Taiwan Co., Ltd",Taipei
181,"Würth Taiwan Co., Ltd.",Houlong Township
182,Xylem Analytics Taiwan,Taipei
183,ZF TAIWAN LTD.,New Taipei City
184,Zum Fass Restaurant,Taipei
